Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
GetObjectAttributes,Grants permission to retrieve attributes related to a specific object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectLegalHold,Grants permission to get an object's current Legal Hold status,Read,object*,,
GetObjectLegalHold,Grants permission to get an object's current Legal Hold status,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectRetention,Grants permission to retrieve the retention settings for an object,Read,object*,,
GetObjectRetention,Grants permission to retrieve the retention settings for an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectTagging,Grants permission to return the tag set of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectTagging,Grants permission to return the tag set of an object,Read,object*,,
GetObjectTorrent,Grants permission to return torrent files from an Amazon S3 bucket,Read,object*,,
GetObjectTorrent,Grants permission to return torrent files from an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,object*,,
GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,object*,,
GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionAttributes,Grants permission to retrieve attributes related to a specific version of an object,Read,object*,,
GetObjectVersionAttributes,Grants permission to retrieve attributes related to a specific version of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionForReplication,Grants permission to replicate both unencrypted objects and objects encrypted with SSE-S3 or SSE-KMS,Read,object*,,
GetObjectVersionForReplication,Grants permission to replicate both unencrypted objects and objects encrypted with SSE-S3 or SSE-KMS,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,object*,,
GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionTorrent,Grants permission to get Torrent files about a different version using the versionId subresource,Read,object*,,
GetObjectVersionTorrent,Grants permission to get Torrent files about a different version using the versionId subresource,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetReplicationConfiguration,Grants permission to get the replication configuration information set on an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetReplicationConfiguration,Grants permission to get the replication configuration information set on an Amazon S3 bucket,Read,bucket*,,
GetStorageLensConfiguration,Grants permission to get an Amazon S3 Storage Lens configuration,Read,storagelensconfiguration*,,
GetStorageLensConfiguration,Grants permission to get an Amazon S3 Storage Lens configuration,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetStorageLensConfigurationTagging,Grants permission to get the tag set of an existing Amazon S3 Storage Lens configuration,Read,storagelensconfiguration*,,
GetStorageLensConfigurationTagging,Grants permission to get the tag set of an existing Amazon S3 Storage Lens configuration,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetStorageLensDashboard,Grants permission to get an Amazon S3 Storage Lens dashboard,Read,storagelensconfiguration*,,
GetStorageLensDashboard,Grants permission to get an Amazon S3 Storage Lens dashboard,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
InitiateReplication,Grants permission to initiate the replication process by setting replication status of an object to pending,Write,object*,,
InitiateReplication,Grants permission to initiate the replication process by setting replication status of an object to pending,Write,,s3:ResourceAccount,
ListAccessPoints,Grants permission to list access points,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListAccessPointsForObjectLambda,Grants permission to list object lambda enabled accesspoints,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListAllMyBuckets,Grants permission to list all buckets owned by the authenticated sender of the request,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,bucket*,,
ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:delimiter  s3:max-keys  s3:prefix  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,bucket*,,
ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,bucket*,,
ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:delimiter  s3:max-keys  s3:prefix  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListJobs,Grants permission to list current jobs and jobs that have ended recently,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListMultiRegionAccessPoints,Grants permission to list multi region access points,List,,s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,object*,,
ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListStorageLensConfigurations,Grants permission to list Amazon S3 Storage Lens configurations,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ObjectOwnerOverrideToBucketOwner,Grants permission to change replica ownership,Permissions management,object*,,
ObjectOwnerOverrideToBucketOwner,Grants permission to change replica ownership,Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccelerateConfiguration,Grants permission to use the accelerate subresource to set the Transfer Acceleration state of an existing S3 bucket,Write,bucket*,,
PutAccelerateConfiguration,Grants permission to use the accelerate subresource to set the Transfer Acceleration state of an existing S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointConfigurationForObjectLambda,Grants permission to set the configuration of the object lambda enabled access point,Write,,s3:DataAccessPointArn  s3:DataAccessPointAccount  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointConfigurationForObjectLambda,Grants permission to set the configuration of the object lambda enabled access point,Write,objectlambdaaccesspoint*,,
PutAccessPointPolicy,Grants permission to associate an access policy with a specified access point,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointPolicy,Grants permission to associate an access policy with a specified access point,Permissions management,accesspoint*,,
PutAccessPointPolicyForObjectLambda,Grants permission to associate an access policy with a specified object lambda enabled access point,Permissions management,objectlambdaaccesspoint*,,
