Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
CreateEndpointConfig,Grants permission to create an endpoint configuration that can be deployed using Amazon SageMaker hosting services,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:AcceleratorTypes  sagemaker:InstanceTypes  sagemaker:ModelArn  sagemaker:VolumeKmsKey  sagemaker:ServerlessMaxConcurrency  sagemaker:ServerlessMemorySize,
CreateExperiment,Grants permission to create an experiment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateExperiment,Grants permission to create an experiment,Write,experiment*,,
CreateFeatureGroup,Grants permission to create a feature group,Write,feature-group*,,iam:PassRole
CreateFeatureGroup,Grants permission to create a feature group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:FeatureGroupOnlineStoreKmsKey  sagemaker:FeatureGroupOfflineStoreKmsKey  sagemaker:FeatureGroupOfflineStoreS3Uri,
CreateFlowDefinition,"Grants permission to create a flow definition, which defines settings for a human workflow",Write,flow-definition*,,iam:PassRole
CreateFlowDefinition,"Grants permission to create a flow definition, which defines settings for a human workflow",Write,,sagemaker:WorkteamArn  sagemaker:WorkteamType  aws:RequestTag/${TagKey}  aws:TagKeys,
CreateHumanTaskUi,Grants permission to define the settings you will use for the human review workflow user interface,Write,human-task-ui*,,
CreateHumanTaskUi,Grants permission to define the settings you will use for the human review workflow user interface,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateHyperParameterTuningJob,Grants permission to create a hyper parameter tuning job that can be deployed using Amazon SageMaker,Write,hyper-parameter-tuning-job*,,iam:PassRole
CreateHyperParameterTuningJob,Grants permission to create a hyper parameter tuning job that can be deployed using Amazon SageMaker,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:FileSystemAccessMode  sagemaker:FileSystemDirectoryPath  sagemaker:FileSystemId  sagemaker:FileSystemType  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateImage,Grants permission to create a SageMaker Image,Write,image*,,iam:PassRole
CreateImage,Grants permission to create a SageMaker Image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateImageVersion,Grants permission to create a SageMaker ImageVersion,Write,image*,,
CreateInferenceRecommendationsJob,Grants permission to create an inference recommendations job,Write,inference-recommendations-job*,,iam:PassRole
CreateInferenceRecommendationsJob,Grants permission to create an inference recommendations job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateLabelingJob,"Grants permission to start a labeling job. A labeling job takes unlabeled data in and produces labeled data as output, which can be used for training SageMaker models",Write,,sagemaker:WorkteamArn  sagemaker:WorkteamType  sagemaker:VolumeKmsKey  sagemaker:OutputKmsKey  aws:RequestTag/${TagKey}  aws:TagKeys,
CreateLabelingJob,"Grants permission to start a labeling job. A labeling job takes unlabeled data in and produces labeled data as output, which can be used for training SageMaker models",Write,labeling-job*,,iam:PassRole
CreateLineageGroupPolicy,Grants permission to create a lineage group policy,Write,,,
